TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP
g_g000861,부모,남자,70세이상
g_g000862,자녀,여자,~9세이하
g_g000862,배우자,여자,30대
g_g000866,부모,여자,70세이상
g_g000866,친인척,남자,~9세이하
g_g000866,친인척,남자,70세이상
g_g000866,친인척,여자,60대
g_g000866,친인척,여자,50대
g_g000866,친인척,여자,70세이상
g_g000866,부모,남자,70세이상
g_g000866,친인척,여자,40대
g_g000866,친인척,남자,70세이상
g_g000866,친인척,여자,60대
g_g000866,친인척,남자,50대
g_g000866,친인척,남자,70세이상
g_g000866,친인척,여자,70세이상
g_g000867,형제/자매,남자,40대
g_g000867,배우자,남자,40대
g_g000867,친인척,남자,10대
g_g000869,친구,여자,20대
g_g000871,배우자,남자,50대
g_g000875,배우자,남자,30대
g_g000875,자녀,남자,~9세이하
g_g000880,연인,남자,30대
g_g000881,친인척,남자,~9세이하
g_g000881,자녀,여자,~9세이하
g_g000881,부모,여자,70세이상
g_g000881,형제/자매,여자,40대
g_g000881,형제/자매,여자,40대
g_g000881,친인척,여자,40대
g_g000881,친인척,남자,10대
g_g000881,친인척,남자,10대
g_g000881,친인척,남자,~9세이하
g_g000881,배우자,여자,40대
g_g000881,부모,남자,70세이상
g_g000881,형제/자매,남자,50대
g_g000881,형제/자매,남자,40대
g_g000881,형제/자매,남자,40대
g_g000881,친인척,남자,10대
g_g000881,친인척,남자,10대
g_g000881,친인척,남자,10대
g_g000883,기타,여자,30대
g_g000892,배우자,여자,40대
g_g000892,자녀,여자,~9세이하
g_g000898,연인,여자,20대
g_g000899,자녀,남자,10대
g_g000899,배우자,남자,50대
g_g000901,자녀,여자,~9세이하
g_g000901,배우자,남자,40대
g_g000901,자녀,남자,~9세이하
g_g000906,배우자,남자,50대
g_g000906,자녀,남자,10대
g_g000906,자녀,남자,10대
g_g000907,연인,여자,20대
g_g000910,부모,남자,60대
g_g000910,형제/자매,여자,20대
g_g000910,부모,여자,50대
g_g000913,배우자,남자,30대
g_g000913,자녀,여자,~9세이하
g_g000920,친구,여자,50대
g_g000931,부모,남자,70세이상
g_g000931,자녀,여자,10대
g_g000931,부모,여자,60대
g_g000935,배우자,남자,30대
g_g000937,자녀,남자,10대
g_g000938,자녀,여자,10대
g_g000938,자녀,여자,~9세이하
g_g000938,친구,여자,40대
g_g000938,기타,여자,10대
g_g000938,배우자,남자,40대
g_g000938,자녀,여자,10대
g_g000938,친구,남자,40대
g_g000938,기타,남자,10대
g_g000938,기타,남자,~9세이하
g_g000939,배우자,여자,30대
g_g000939,부모,여자,60대
g_g000939,자녀,남자,~9세이하
g_g000940,친구,여자,30대
g_g000940,친구,여자,30대
g_g000943,부모,여자,50대
g_g000943,부모,남자,50대
g_g000944,친구,남자,20대
g_g000944,친구,남자,20대
g_g000946,배우자,여자,50대
g_g000947,연인,남자,30대
g_g000949,배우자,남자,40대
g_g000949,자녀,여자,~9세이하
g_g000950,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000950,"친목 단체/모임(동호회, 종교단체 등)",여자,40대
g_g000950,"친목 단체/모임(동호회, 종교단체 등)",여자,50대
g_g000952,연인,남자,40대
g_g000954,부모,남자,70세이상
g_g000954,자녀,남자,10대
g_g000954,형제/자매,여자,30대
g_g000954,배우자,남자,40대
g_g000954,자녀,남자,10대
g_g000954,부모,여자,70세이상
g_g000957,친구,여자,20대
g_g000958,배우자,여자,30대
g_g000959,배우자,남자,40대
g_g000959,자녀,남자,10대
g_g000959,자녀,남자,10대
g_g000965,배우자,남자,30대
g_g000967,친구,여자,20대
g_g000967,친구,여자,20대
g_g000967,친구,여자,20대
g_g000972,배우자,남자,30대
g_g000974,자녀,여자,30대
g_g000976,자녀,남자,10대
g_g000976,배우자,남자,40대
g_g000976,자녀,남자,~9세이하
g_g000983,기타,남자,10대
g_g000983,기타,여자,10대
g_g000983,자녀,여자,40대
g_g000985,친구,여자,20대
g_g000986,연인,여자,20대
